"id","language","text"
138,"es","?RT @QuinManso: @sebasnogueres @eloy0107 @Arran_jovent @toni_comin Porto a Bellvitge amb familiar (nofaréfotoscomaquell) dsd dissabte i no v…"
139,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
140,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
141,"es","?Celebrem el Comitè Comarcal de @PdcAnoia explicant les novetats d partit  #il.lusió #noupartit @marccastells… https://t.co/UG7V14JMkM"
142,"es","?RT @arranterrassa: Nosaltres també ens sumem a plantar cara davant les humiliacions a la santitat pública!
Demà a les 18h totes amb... http…"
143,"es","?.@mariadolorsa, @nuriaparlon i regidors de #Badalona i #Santacoloma contra talls de llum i preus energètics https://t.co/LwJoYfIP5l"
144,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
145,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
146,"es","?RT @DiarideBadalona: .@mariadolorsa, @nuriaparlon i regidors de #Badalona i #Santacoloma contra talls de llum i preus energètics https://t.…"
147,"es","?RT @nuriaparlon: Més de 300 persones en beneficiaran de la formació 2017 @grameimpuls https://t.co/t85pb8Dkth #santacoloma @esteveserrano"
148,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
149,"es","?RT @diba: Les quatre diputacions catalanes es comprometen a treballar per sumar món local al Manifest #PacteNacionalReferèndum https://t.co…"
150,"es","?RT @diba: Les quatre diputacions catalanes es comprometen a treballar per sumar món local al Manifest #PacteNacionalReferèndum https://t.co…"
151,"es","?Ei @Esquerra_Valls @PDECATValls, diguem no a l'exèrcit espanyol a l'Espai de l'Estudiant. Fora forces d'ocupació!  https://t.co/gcG4h3dUaG"
152,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
153,"es","?RT @ObserVallcarca: Orgullosos d'aquest treball amb @VoltaArq i @AVallcarca que presentarem aviat https://t.co/u6vIbKilzM"
154,"es","?RT @ObserVallcarca: Les fotos clamen el cel! Aquesta i moltes altres configuren una eina potent de memòria històrica col·lectiva, l'… "
155,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
156,"es","?RT @arranterrassa: Treieu els calendaris i aneu fent lloc a la data assenyalada:
Aquest 4 de març torna per sisena vegada la... https://t.c…"
157,"es","?RT @Payaser: Nuevo vídeo comercial de Cocacola. https://t.co/fhhcnvOAnr"
158,"es","?RT @Darthmedebeber: - ¿Usted llama a esto trabajar?
- ¿Usted llama a esto cobrar?"
159,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
160,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
161,"es","?Menú #Montseny https://t.co/4rkGyp1BtY @diba @xarxadeparcs #vallesoriental https://t.co/CfbeGTReqP"
162,"es","?Menú #Montseny https://t.co/4rkGyp1BtY @diba @xarxadeparcs #vallesoriental https://t.co/CfbeGTReqP"
163,"es","?RT @maximors63: 
Almunia y mujer ganan 400.000 euros su hijo consigue 3 becas colocan su cuñada salvan a su sobrina del “caso 11-M”
https:…"
164,"es","?RT @Srta_Beauvoir: ¿No os suena de algo? https://t.co/ynxzGTh8HZ"
165,"es","?RT @marta_minguella: @jgarganteclosa @CGTDiba Ostres, ho té tot, amalgama perfecta i necessària x ser sindicalista groc i per rematar-ho: d…"
166,"es","?RT @XAFD_Cat: Bona notícia! organitzem
1a Jornada Internacional de Familiars de Persones Represaliades, Barcelona, 18 de març.
Reserveu-vos…"
167,"es","?RT @Arran_jovent: Ei @Esquerra_Valls @PDECATValls, diguem no a l'exèrcit espanyol a l'Espai de l'Estudiant. Fora forces d'ocupació!  https…"
168,"es","?RT @CGTEnsenyament: CGT davant de l'acord entre UGT, CCOO, USTEC i el Departament d'Ensenyament. https://t.co/4CtlApUdas"
169,"es","?RT @PAH_Sabadell: La lluita x unes urgències dignes i un sistema sanitari públic i de qualitat tmb és la nostra lluita. Demà 18h… "
